name,fileorder,number,parkprop,borough,parkname,parknumber,commboard,council,Location,extant,dedicated,cast,descrip,dimen,sponsor,materials,foundry,fabricator,sculptor,architect,donor,maintain,contractor,Name2,Name3,MaintainedByParks,Installation,Rededication,Cost,Categories,inscribed,X,Y
Etched Granite Pavement,Etched Granite Pavement,1775,Y,Queens,Flushing Meadows / Corona Park,Q099,15,21,Just east of the Unisphere,Y,1995,ca. 1994,"Four hundred sixty-four square, smooth, inset blocks arranged in four groups","Two groups 24' x 40'; two groups 8' x 45'; total area: 3,000 square feet",,Black granite,,,Matt Mulligan,Miceli Kulik Williams,Percent for Art,,,,,Y,,,"$400,000",,,1027409.2414253056,211345.52125631273
Grand Army Plaza Lamps,,609,Y,Brooklyn,Grand Army Plaza,B040,19,33,Plaza entrance,Y,,,Lamps,,,Bronze,W & J Lamb Co.,,,,,,,,,,,,,,,992581.5397553891,184404.7755972296
Macombs Dam Park Fountain,,955,Y,the Bronx,Macombs Dam Park,X030,4,17,Triangle opposite Macombs Dam Park; Jerome Avenue at 162 Street and Ogden Avenue,Y,1908,,Display fountain,"H: 7'8"" W: 17'4"" D: 10'3""",,Upper portion--Indiana limestone; Base and basin--Stony Creek granite,,,,Martin Schenk and Arthur Waldregon,Purchase,,,,,Y,,,,,,995769.4385633022,225467.27450880408
Roosevelt Island Lighthouse,,1373,O,Manhattan,,,8,5,North tip of island,Y,mid 1800's,,Lighthouse,,,Granite,,John Mc Carthy,,,,,,,,,,,,,,1000815.3891013116,220846.00783272088
Sport Fish,Sport Fish,1845,Y,the Bronx,Crotona Park,X010,3,15,Crotona Pool Bath House,Y,ca. 1936,ca. 1936,Bas-relief roundel,,,Stone,,,Frederick George Richard Roth,,,,,,,,,,,,,1012517.9172053933,245247.7244491428
Fort Tryon Park Playground,,536,Y,Manhattan,Fort Tryon Park,M029,12,7,"Fort Washington Avenue, 191st Street",Y,1942,,Tablet,"H: 1'3 3/8"" W: 2'6"" D: 4""",,Granite,,,,Henry Deacy,Gift of John D. Rockefeller,,,Anne Loftus Playground Plaque,,Y,,,,,,1002491.8378481418,252184.5435807258
Algernon Sidney Sullivan,,1521,Y,the Bronx,Van Cortlandt Park,X092,13,11,Boat House,Y,1906,,Stele with fountain bases,"H: 10'2""  W: 4'3"" D: 4'6""",,"Deer Island granite, bronze",,,Jonathan Scott Hartly,Frank E. Wallis,Citizens of New York,,,,,Y,,,6000.00,Politcal Figure,,1013843.2675730586,263187.5130445659
George Washington Accompanied by Fame and Valor,"Washington, George",1668,Y,Manhattan,Washington Square Park,M098,2,1,"Washington Square Arch, east pier, north side",Y,1916,1916,"Standing figure (three/quarters round, over life-size) before two figures (over life-size) in high relief, on integral plinth, pedestal",,,Granite,,,Hermon Atkins MacNeil,,Washington Arch Committee,,,,,Y,,,"$15,000","Revolutionary War, War Memorial, US President",,985082.0101350546,205682.50764797628
Flanders Field Flagstaff,,494,Y,Queens,Linden Park,Q026,4,21,"42 Avenue, 103 Street, 41 Avenue, 104 Street, Corona",Y,,,Flagstaff and tablet on base,,,"Bronze, granite",,,,,,,,,,Y,,,,"World War I, War Memorial",,1022570.5368638933,212111.19689030945
River That Flows Two Ways,,1906,Y,Manhattan,Battery Park,M005,1,1,"Admiral Dewey Promenade, harborside perimeter railing",Y,"June 5, 2000",2000,"Thirty-seven pierced panels, forming a railing for a seawall",each panel 2' x 2'; fence l 1500',,Panels--cast iron; two panels--glass; two running bands--bronze,,,Wopo Holup,,Conervancy for Historic Battery Park,,,,,Y,,,,,,979494.8260994703,195288.28073306382
Riverside Civil War Cannons,,2038,Y,Manhattan,,M072,7,6,Soldiers and Sailors Plaza,Y,,1865,Three cannons,"Diameter: 8"" Length:121"",  Across face of muzzle: 13""",,bronze,"Seyfert, McManus & Co",,,,,,,,,Y,,,,,,990018.4628605545,227810.26096455753
Abraham Lincoln,"Lincoln, Abraham",913,Y,Manhattan,Union Square Park,M089,5,2,North end,Y,"September 16, 1870",1870,Standing figure (over life-size) with integral plinth on pedestal,Figure H: 8'; Pedestal H: 11½'  W: 9½' D: 9½',T&A,"Bronze, Dix Island, ME granite",,,Henry Kirke Brown,,"Public subscription, sponsored by the Union League Club",,,,,Y,,,,US President,,986988.8777123839,207499.27140289545
"Riverdale, Spuytenduyvil, Kingsbridge Memorial Bell Tower",,1345,Y,the Bronx,,,8,11,Riverdale Avenue at 239th Street,Y,1931,,Belfrey tower and terrace; honor rolls,"H: 50' W: 17'6"" D: 17'6""",,"Bronze, fieldstone, Indiana Limestone",,,,Dwight James Baum,Public subscription,,,,,Y,,,,"World War I, War Memorial",,1009591.5519951433,263266.5703011453
Wingdale,Wingdale,1850,Y,Queens,Major John W. Mark Park,Q025,12,27,173rd Street and Hillside,Y,1973,1971,"Two upright, roughly L-shaped beams, joined head to foot;aperture at the center",H: 4½' W: 4½' L: 12',,"Cor-ten steel, painted red",,,Roger Bolomey,,Association for a Better New York,,,Untitled #1,,Y,,,"$7,500",,,1042749.5522800535,198708.06851288676
American Merchant Mariners Memorial,American Merchant Mariners Memorial,1939,N,Manhattan,Battery Park,M005,1,1,"Breakwater extension, section D",Y,"October 8, 1991",1991,"Three figures on boat, one figure is trying to grasp another figure that is in the water","group h 10'6"" x l 24' x w 8'; pedestal h 6' x l 30' x w 12'",,Figures--bronze; lifeboat--fiber-reinforced concrete; concrete,"TALLIX, Beacon, NY",,Marisol Escobar,,"$250,000; American Merchant Mariners' Memorial, Inc., c/o Joan Samsen Associates; tel. (212) 772-9363",,,,,,,,,"Sculpture, Soldier, War Memorial",,979320.5692301393,195767.995980978
Filter House Ornaments,,478,Y,Manhattan,Hamilton Fish Park,M033,3,2,,Y,,,8 sculptured ornaments,,,Limestone,,,,,,,,,,,,,,,,989456.4958086312,201563.2042068094
Baird Court Dolphin Fountains,Baird Court Dolphin Fountains,71,O,the Bronx,Bronx Park,X002,14,12,Bronx Zoo; terrace between Fountain Circle and Baird Court,Y,ca. 1937 (?),ca. 1937 (?),"two fountains, each consisting of vertical high-relief dolphin in scalloped recess over basin",,,,,,,,,,,,,,,,,,,1017931.3118903935,250114.4443744719
Gates of Life,Gates of Life,574,Y,Queens,Flushing Meadows / Corona Park,Q099,15,21,Entrance to Flushing Meadows / Corona Park Zoo,Y,ca. 1968,ca. 1968,Ornamental gates,"H: 10' (ends), 8'6"" (center) W: 22'",,Bronze,,,Albino Manca,"Clarke and Rapuano, Incorporated",,,,,,Y,,,,,,1025936.0314452201,210380.96183373034
Puerto Rican Sun,Puerto Rican Sun,1288,Y,the Bronx,Fox Playground,X247,2,8,Fox and 156th Streets,Y,"October 16, 1979",1979,Assemblage of upright plates,"H: 22' W: 25'6"" D: 22' at base; Weight: 10,000 pounds",,Cor-ten steel,,Lippincott Inc.,Rafael Ferrer,,Bronx Venture Corporation,,,,,Y,,,,Sculpture,,1012361.4657466412,236316.2784013152
Voice 1,,2041,Y,Manhattan,,M376,9,7,"Hudson River, between 125th and 135th Sts., West Harlem Pier Park",Y,"May 30, 2009",2008,"Sculpture representing casting loop on fishing poles, stands fully upright",,Percent For Art,Stainless steel,"Soapstone Studios, Brooklyn, NY","Soapstone Studios, Brooklyn, NY",Nari Ward (born 1963),,,,,,,Y,06/01/2008,,,,,995248.6246443093,238002.26551489532
Wingdale,Wingdale,1850,Y,Queens,Major John W. Mark Park,Q025,12,27,173rd Street and Hillside,Y,1973,1971,"Two upright, roughly L-shaped beams, joined head to foot;aperture at the center",H: 4½' W: 4½' L: 12',,"Cor-ten steel, painted red",,,Roger Bolomey,,Association for a Better New York,,,Untitled #1,,Y,,,"$7,500",,,954736.5229258835,164609.66590930521
Macombs Dam Park Fountain,,955,Y,the Bronx,Macombs Dam Park,X030,4,17,Triangle opposite Macombs Dam Park; Jerome Avenue at 162 Street and Ogden Avenue,Y,1908,,Display fountain,"H: 7'8"" W: 17'4"" D: 10'3""",,Upper portion--Indiana limestone; Base and basin--Stony Creek granite,,,,Martin Schenk and Arthur Waldregon,Purchase,,,,,Y,,,,,,1003903.0591070503,241764.1779385656
Urns - Prospect Park (16),,1603,Y,Brooklyn,Prospect Park,B073,0,39,Grand Army Plaza entrance,Y,,,,,,Painted cast iron,,,,Stanford White,,,,,,,,,,,,994023.7156767994,179174.01834222674
The Army: Genius of Patriotism Urging American Soldiers On To Victory,"Army, The: Genius of Patriotism Urging American Soldiers On To Victory",52,Y,Brooklyn,Grand Army Plaza,B040,19,33,"Soldiers and Sailors Memorial Arch, south façade, west pier",Y,1900,ca. 1900,Group in high relief on platform,"H: 22' W: 11'3¾"" D: 7'4½""",,Bronze,LeBlanc Barbedienne,,Frederick William MacMonnies,Stanford White,City of Brooklyn,,,Heroes of the War 1963-65,,Y,,,50000.00,"Civil War, War Memorial, Sculpture",,992574.5860291421,184446.2748580575
Armillary Sphere,Armillary Sphere,49,Y,Manhattan,Sutton Parks,M108P,6,5,,Y,ca. 1971,1971,Armillary sphere and sundial on circular pedestal,"Sphere Diameter: 2'6""; Pedestal Diameter: 1'",,"Bronze, cast stone",,Kenneth Lynch & Sons,Albert Stewart,"Ann Butter, Levine & Blumberg","Hugh Trumbull Adams, through Salute to the Seasons Fund for a Better New York",,,,,Y,,,,Sculpture,,994743.180445224,214428.41961805522
Abraham Lincoln,"Lincoln, Abraham",911,Y,Brooklyn,Prospect Park,B073,0,39,Flower Garden,Y,"October 21, 1869",ca. 1869,"Standing figure (over life-size) on integral plinth on pedestal with wreaths and insignia of US Army and Navy at front and rear, and two eagles, one proper left and one proper right","Figure H: 8'6"" W: 3' 4"" D: 3'4""; Pedestal H: 10'4"" W: 7'6"" D: 7'6""; Eagles H: 30""; Wreath Diameter: 30""",MAS,"Figure, wreaths and eagles---bronze;  Pedestal--two types of granite",Lamoureux,,Henry Kirke Brown,,Citizens of the City of Brooklyn,,,,,Y,,,,"US President, Animal: other",,993973.3407775611,179145.21754680574
Job,Job,1766,Y,Queens,Forest Park,Q015,16,30,"West of 80th Road and Park Lane South junction, near Administration Building",Y,"August 3, 1997",1967,"Standing figure (life size), integral plinth","Sculpture H: 5'5"" W: 1'9"" D: 7""; Base H: 1'5"" W: 3'9"" D: 3'1""",,"Bronze, darkly mottled schist",Modern Art Foundry,,Natan J. Rapoport,,Dr. and Mrs. Murray Fuhrman,,,,,Y,,,"$50,000","Religious Leader, Holocaust",,1030029.4399250597,198143.34916989505
Sambur Attacked by Wolves,Sambur Attacked by Wolves,1832,O,Brooklyn,Prospect Park,B073,0,39,"Prospect Park Zoo; Flatbush Avenue entrance, south side of southern kiosk",Y,1935,1935,Bas-relief,,,,,,Furman,Aymar Embury II,,,,,,,,,,,,994115.5596532226,181797.59249138832
Eaphae-Aekyad #2,Eaphae-Aekyad Number 2,1768,Y,Manhattan,John Jay Park,M045,8,5,East 76th - East 78th Streets and Cherokee Place,Y,October 1979,ca. 1979,Precariously balanced pieces of steel,"H: 9'9"" W: 7'2"" D: 1'8"" (all approximate)",Cherokee Sculpture Plaza Trust & Agency (est. by John Jay Park Association),Welded hot-rolled steel (painted black),,,Douglas Abdell,Thomas Balsley Associates,,,,,,Y,,,,,,998026.8631823063,219452.14283831418
USTA Natl Tennis Center Plaques (5),,1582,O,Queens,Flushing Meadows / Corona Park,Q099,15,21,USTA Tennis Center,Y,"August 28, 1978",,five plaques,5'h x 4'w,,bronze,livers (?) bronze co.,,,David Kenneth Spector,,,,,,,,,,,,1026851.8140624762,211954.81137630343
Dr. Gertrude B. Kelly,,845,Y,Manhattan,Dr. Gertrude B. Kelly Playground,M066,4,3,DOES NOT EXIST IN PARK; 17th St. between 8th and 9th Avenues,N,"March 17, 1936",,Tablet,"H: 18"" W: 28""",,Bronze,Northern Studios,Northern Studios,,,,,,,,,03/16/1936,,,"Physician, Women",,983687.4023599774,209480.51087872684
George Washington Accompanied by Wisdom and Justice,"Washington, George",1682,Y,Manhattan,Washington Square Park,M098,2,1,"Washington Square Arch, west pier, north side",Y,1918,1918,"Standing figure (three/quarters round, over life-size) before two figures (over life-size) in high relief, on integral plinth, pedestal",,,Granite,,,Alexander Stirling Calder,,Washington Arch Committee,,,,,Y,,,"$15,000","Revolutionary War, War Memorial, US President",,985043.5843588859,205709.20050798357
Winfield Memorial,Winfield Memorial,1711,Y,Queens,Victorious America Triangle,QZ043,0,0,65th Place and Laurel Hill Boulevard,Y,1926,1926,Standing female figure (over life-size) on pedestal,"Figure H: 7'4"" W: 2'1"" D: 2'1""; Pedestal  H: 4'  W: 3'5"" D: 3'5""",,"Bronze, Stony Creek granite",American Art Foundry,,James S. J. Novelli,,,,,Victorious America,,Y,,,,"World War I, War Memorial",,1012075.0066738874,208784.89186313748
Robert Fulton,"Fulton, Robert",565,Y,Manhattan,,,0,0,"Museum of the City of New York, Marine Gallery",L,"November 4, 1930",ca. 1872,Standing figure (heroic scale) on integral plinth,"H: 10'6""",,"Zinc, with plaster patching","M.J. Seelig & Co., Sculptors & Founders, 115-121 Maujer St., Williamsburg",,Caspar Buberl,,Society of Old Brooklynites,,,,,,,,,Scientist/Inventor,,,
"Wolfe, General James",,1720,Y,Manhattan,,,2,3,S.W. CORNER 8TH AVE. AND 14TH,N,c. 1761 between 1759 & 1762,,obelisk,,,,,,,,oliver d lancey,,,,,,,,,,,,
Alben Square Flagstaff,"Alben, Bud H.",11,Y,Brooklyn,Alben Memorial Square,B123,12,39,"Ft. Hamilton Pkwy., New Utrecht and 11th Avenues, and 46th Street",Y,1935,ca. 1935,Flagstaff with plaque,"Plaque H: 2' W: 1'7¼""; Base H: 2'8"" W: 2'10""",,"Concrete, bronze, brick terrace","U.S. Bronze Sign Company, NY",,,,"Bud H. Alben Post No. 1436, Veterans of Foreign Wars of the United States",,,,,Y,,,,"War Memorial, World War I",,985756.7236806303,172217.62641514838
Lowell Kingsley Hanson,,670,Y,Manhattan,,,6,5,TURTLE BAY; First Avenue and 49th Street,Y,1977,,Plaque mounted on column,,,"Bronze, granite",,,,,The Turtle Bay Tree Fund,,,,,,,,,,,,
Icon II,Icon II,762,Y,Staten Island,Sailors Snug Harbor,R116,1,49,West Lawn,Y,"April 21, 1980",1978,Upright X-form on plinth,"H: 10' W: 5'9¼"" D: 1'6""; Plinth H: 1' W: 7'1¼"" L: 2'10""; Weight: 8,000 pounds",,"Precast, Tuscan red reinforced concrete",,Grow-Kiewit - MK Tunneling Corporation,Seena Donneson,,Grow-Kiewit - MK Tunneling Corporation,,,,,Y,,,,Sculpture,,955546.1495874673,174029.15822514892
The Free Bridge Plaque,"Free Bridge Plaque, The",552,N,the Bronx,,,7,14,"Exterior wall of Bruck Collegiate Building, south side of West 225th Street and Exterior Street",Y,"June 13, 1959",ca. 1959,Plaque,"H: 2'8"" W: 1'10"" D: 1""",,Bronze,"General Bronze Corporation, Garden City, NY",,,,Kingsbridge Historical Society,,,,,,,,,,,,
Free Form,Free Form,553,Y,Queens,Flushing Meadows / Corona Park,Q099,15,21,"Mall, northwest of Armillary Sphere",Y,1964,1964,Form on base,"Form  H: 12'; Base H: 8'10""",MAS,"Stainless steel, Atlantic black granite (polished)",,,Jose De Rivera,,,,,,,Y,,,,Abstract,,1026696.1444263011,211565.06215581298
Sunnyside Memorial,,1528,Y,Queens,,Q034,2,26,"VETERANS MEMORIAL SQUARE; Queens Blvd., 48th to 49th Streets",Y,"June 12, 1976 (flag day)",,"Tapered obelisk on sq. base, incised ltr","16'9""h x 8'10""w x 8'10""d",,"African black granite (polished), stainless steel",,Fasolino Monuments,,Dominick L. Segrete,Memorial Monument Committee,,,,,Y,,,16695.00,War Memorial,,1007608.9703303874,209917.1192574799
Independence Flagstaff,Independence Flagstaff,766,Y,Manhattan,Union Square Park,M089,5,2,Center of park,Y,"July 4, 1930",1926,Flagstaff on drum pedestal with two bas-reliefs and two plaques,Flagstaff H: 40';  Pedestal H: 9'6'  Diameter 36',T&A,"Flagstaff--steel, copper sheathing; Pedestal--granite; Bas-reliefs and plaques--bronze,",,,Anthony de Francisci,"Perry Coke Smith, Charles B. Meyer",Tammany Society,,,Union Square Flagstaff; Charles F. Murphy Memorial Flagstaff,,Y,,,80000.00,"Revolutionary War, Sculpture, War Memorial",,986937.6901507229,207392.95206172764
City Hall (Interior),city hall (interior),252,O,Manhattan,,M013,1,1,Interior of City Hall,Y,,,,,,,,,,,,,,,,,,,,,,,
Madison Square Fountain,,958,Y,Manhattan,Madison Square Park,M052,5,3,Center axis at 24th Street,Y,"June 28, 1867",,Display fountain,"H: 1'6"" Diameter: 32'",,North Jay granite,,,,,,,,,,,,,,,,987492.926573053,209506.23622097075
Michael J. Mahoney,,965,Y,Staten Island,Michael J. Mahoney Memorial Playground,R025,1,49,"New Brighton, S.I.",M,,,Tablet,"H: 12"" W: 16""",,Bronze,,,,,,,,,,,,,,"World War I, War Memorial",,,
Netanyahu Memorial,,1091,Y,the Bronx,Pelham Parkway,X003,11,13,"LT. COL. Y. NETANYAHU LAND; Pelham Parkway, Holland Avenue",Y,"June 12, 1977",,Tablet set in pavement,"H: 4"" L: 30"" D: 24""",,Gray granite (polished),,"Sprung Monuments, Forest Hills",,,Bronx Reg. Zionist Org. of America,,,,,Y,,,,"Soldier, Soldier",,1021406.1832214743,251504.13253997266
Woodside Doughboy,Woodside Doughboy,1731,Y,Queens,Carl R. Sohncke Square,Q031A,,26,"Woodside and Roosevelt Avenues, 39 Road and 52 Street",Y,1923,1923,Figure (over life-size) on pedestal,"Figure H: 7'2""; Pedestal H: 4'11½ W: 3'11"" D: 3'11""",,"Bronze, granite",,,Burt W. Johnson,C.N. Kent,,,,"The Returning Soldier; ""Lest We Forget""",,Y,,,$5000,"World War I, War Memorial, Soldier",,1009532.2027043849,211174.4861653149
Veterans Square Memorial,,1630,Y,Queens,,QZ037,12,31,"122nd Avenue, Montauk Street, Springfield, Farmers Boulevard",Y,,,Stele surmounted by eagle,,,Barre granite,,,,,Springfied St. Albans Patriotic Memorial Association,,,,,Y,,,,"World War II, War Memorial",,1050778.9532159716,188240.52809630334
Reaching Jaguar,Reaching Jaguar,1895,O,the Bronx,Bronx Park,X002,14,12,Bronx Zoo; near stairway leading from Fountain Circle to Baird Court,Y,1937,1926,One of two; crouching jaguar (life size) on pedestal in form of rock outcropping,,,Marble,,,Anna Vaughn Hyatt Huntington,,Anna Vaughn Hyatt Huntington,,,Baird Court Jaguar,,,,,,,,,
McLaughlin Park World War I Memorial,,1007,Y,Brooklyn,McLaughlin Park,B061,2,33,"Tillary and Jay Streets, Cathedral Place",Y,1919,,"Stele, base","Stele H: 12' W: 6' D: 23""; Base H: 15"" W: 9'4"" D: 5'",,"Indiana limestone, granite",,,,Danby and Nute,Seawanhaka Democratic Club,,,,,Y,,,,"World War I, War Memorial",,988405.685574308,192943.4140317291
Marine Heroes Tablet,Marine Heroes Tablet,976,Y,Manhattan,Riverside Park,M071,7,9,West 93rd Street,Y,ca. 1950,ca. 1950,Tablet,"Original plaque H: 10"" W: 1'2""",,Original plaque--bronze; Original plinth--concrete; replacement tablet--granite,,,,,Marine Corps Fathers' Association of New York,,,,,Y,,,,"World War II, War Memorial",,990452.8314143866,228408.99205055833
Time Capsule II Marker,,1552,Y,Queens,Flushing Meadows / Corona Park,Q099,15,21,,Y,"October 16, 1965",,Large round granite marker,"33 ½""h x 79""diam",,Granite,,,,,Westinghouse Electric Corporation,,,World's Fair Time Capsule Marker 1965,,Y,,,,,,1027118.8286202997,210020.37823730707
"gracie, archibald plaque",,607,N,Manhattan,,,8,5,GRACIE SQUARE & E. END AVE.; 84th st across from carl schurz park,Y,1930,,plaque on exterior bldg. wall,,,bronze,,,,,anthony a. paterno,,,,,,,,,,,,
Croton Aqueduct Distributing Reservoir,,349,O,Manhattan,Bryant Park,M008,5,3,New York Public Library; 42nd St. and 5th Avenue,Y,1842,,,,,granite,,,,,,,,,,,,,,,,,
Raoul Wallenberg Monument,"Wallenberg, Raoul Gustav",1924,N,Manhattan,,MZ069,6,4,"Traffic island at 1st Avenue and East 47th Street, along Raoul Wallenberg Walk",Y,"November 9, 1998",1998,"Five columns, each with two sides rough-hewn and two sides smooth; sphere atop column 1; replica of attaché case; cubical paving blocks","Column 1 H: 14'8""; Column 2 H: 17'; Column 3 H: 13'8""; Column 4 H: 17'; Column 5 H: 18'; Sphere diameter 3'3""; paving blocks H: 6¼"" L: 6¼"" W: 6¼""",,Columns--black Swedish diabase; sphere--blue ceramic; replica of attaché case--bronze (red patina); paving blocks--basalt,"Bermans Bronze Foundry, Stockholm, Sweden (attache case)","Broby Granit AB, Sibbhult, Sweden",Gustav Kraitz; Ulla Kraitz,"Abel, Bainson, Butz",Marcus Storch and family (in memory of Hilel Storch),,Skanska,Hope,,Y,,,"$750,000",World War II,,993206.8816805482,213183.9522907287
Putnam Memorial,,1294,Y,Staten Island,Veterans Park,R019,1,49,"Herberton to Park Aves, Bennett to Vreeland Streets",Y,1915,,Fountain,,,Westerly granite,,,Virgil W. Fuller,,Gift,,,Port Richmond Park,,Y,,,,Educator,,947705.9093624651,171293.9255066365
Dr. Simon Baruch Bath House War Memorial Plaque,"Baruch, Simon",85,Y,Manhattan,Randalls Island Park,M104,11,22,In storage,S,1952,ca. 1948,Plaque,"H: 1'8"" W: 1'4""",,,,,,,"Dr. Simon Baruch Chapter, American Veterans Committee",,,,,,,,,"World War II, War Memorial",,,
Chelsea Park Memorial (Doughboy),Chelsea Park Memorial,232,Y,Manhattan,Chelsea Park,M011,4,3,9th Avenue between 27th and 28th Streets,Y,"April 7, 1921",1921,"Standing figure with integral plinth, on pedestal against integral backing wall","H: 14'3"" W: 8' D: 5'6""",,Figure--bronze; Pedestal and wall--Deer Isle granite,"Roman Bronze Works, New York",,Philip Martiny,Charles R. Lamb,Chelsea Memorial Committee,,,,,Y,,,,"Sculpture, World War I, War Memorial, World War I",,984369.4193686396,212345.49005688727
Sullivan Memorial Fountain,"Sullivan, Timothy P.",1522,Y,Manhattan,Schiff Parkway Center Plots,M080,3,1,intersection with the Bowery,S,1911,ca. 1911,"Drinking fountain consisting of four small basins mounted on square shaft topped by large ball, plaque in form of shield","shaft h 10'8"" x w 3' x d 3'",,Fountain--Deer Isle granite; plaque--bronze,,,,Thomas Lamb,John H. White,,,,,,,,1500.00,,,985952.8361493051,201686.3535668105
Jerry McAuley Drinking Fountain,"McAuley, Jerry",994,Y,Manhattan,Greeley Square,M032,5,3,,Y,1913,1913,Drinking fountain fitted to the top of a circlar shaft resting on a circular-step base,"H: 3'1""",,Deer Isle granite (polished ),,,,,McCauley Committee of the New York City Rescue Mission,,,,,Y,,,,,,987510.5341493934,212093.46595464647
Lower East Side War Memorial,,946,Y,Manhattan,,M224,3,1,"E. Broadway, Canal, Rutgers Street",Y,"May 30, 1953",,"Cylindrical bas relief stele, incised letters",12'h x 4'diam,,"Polished granite, bronze plaque",,,,,"Morris Dickstein Post #462, Veterans of Foreign Wars",,,,,Y,,,,"World War I, World War II, Korean War, War Memorial",,987008.5850220472,199478.11290456355
The Watering Place,,1685,Y,Staten Island,Joseph H. Lyons Playground,R024,1,49,Victory Blvd. and Bay St.,Y,1925,,Tablet on natural boulder,"Tablet H: 2' W: 1'2""; Boulder H: 5'8"" W: 4'6""",,"Bronze, natural boulder",,,,,"Richmond County Chapter, D.A.R.",,,,,Y,,,,,,963107.6813803911,171538.12055630982
American Redout Marker,American Redoubt Marker,27,Y,Manhattan,Fort Washington Park,M028,12,7,"Promontory north of George Washington Bridge, southwest of railroad trestle near 180th Street (cross at 181st Street Pedestrian Bridge and proceed south on greenway)",Y,"November 16, 1910",1910,"Large boulder resting on several medium-sized boulders, supported by about a dozen small boulders",,,Boulders and concrete,,,,Reginald Pelham Bolton,"Fort Washington Chapter, Daughters of the American Revolution",,,,,Y,,,,"Revolutionary War, War Memorial",,999589.4237054735,249556.72862640023
George M. Cohan,"Cohan, George M.",282,Y,Manhattan,Father Duffy Square,M093,5,3,,Y,"September 11, 1959",1959,"Standing figure (over life size), integral plinth, on pedestal","Figure H: 8'7""; Pedestal (upper part) H: 6' 11 1/2"" W: 3' 6 3/4"" D: 6' 3/4""; Pedestal base H:5 1/2"" W: 7'3"" D: 7'3""",TSBID,Figure--bronze; Pedestal--light Barre granite on dark Barre granite base,,,Georg John Lober,Otto Langman,George M. Cohan Memorial Fund,,,,,Y,,,,"Sculpture, Composer/Musician",,988378.7036728859,215740.61876530945
Pell Graves,,1173,Y,the Bronx,Pelham Bay Park,X039,0,13,"Bartow-Pell Mansion, Shore Road",Y,,,"4 granite posts, 7 gravestones","Posts H: 30"" W: 12"" D:12""",,"Marble, limestone, sandstone, native marble, granite",,,,,,,,,,,,,,,,1038005.485652715,256701.16184405982
Abingdon Square Doughboy,,1942,Y,Manhattan,,M001,2,3,"South end of park; West 12th Street, 8th Avenue, Hudson Street",Y,1921,ca. 1921,Figure (heroic scale) on pedestal,"H:1'7-1/2"" W: 10'3"" D: 10'3""",,"Bronze, Deer Isle granite","Bureau Brothers, Philadelphia",,Philip Martiny,William A. Hewlett (pedestal),The Jefferson Democratic Club,,,,,Y,,,,"War Memorial, World War I, Sculpture",,982729.010575965,207865.6138460636
Peter Chappetto Flagstaff,"chapetto, peter flagstaff",228,Y,Queens,Peter Chappetto Memorial Square,Q066H,1,22,"Hoyt Ave, 21st and 23rd Streets, Astoria",Y,1949,,Tablet attached to base of flagstaff,"Tablet H: 8"" W: 10""; Base H: 48"" W: 27"" D: 27""",,"Bronze,  cast stone",,,,,Friends,,,,,Y,,,,World War II,,1005788.9382093102,221531.07339172065
Lorillard Snuff Mill Restoration,,941,O,the Bronx,Bronx Park,X002,14,12,New York Botanical Garden; along Bronx River on road towards Rrose Garden,Y,1954,,Plaque,"H: 18"" W: 24""",,Bronze,,,,,Harriet Barnes Pratt,,,,,,,,,,,,
Brigadier General Winfield Scott Hancock,"Hancock, Winfield Scott",667,Y,Manhattan,Hancock Park,M034,10,9,Manhattan Avenue at 123rd Street,Y,1891,ca. 1891,Bust on pedestal,Total H: 7',,"Bronze, Quincy granite (polished)","M.H. Mosman, Chicopee, MA",,James Wilson Alexander MacDonald,,Hancock Post #259,,,,,Y,,,,"Civil War, War Memorial",,997186.4524615556,234210.238978222
Bronx County Building Frieze,Bronx County Building Frieze,156,N,the Bronx,,,4,17,BRONX COUNTY BUILDING; Grand Concourse at East 161st Street,Y,,,"30 panels, high relief",,,,,,Charles Keck,,Purchase,,,,,,,,,,,,
Delacorte Fountain,Delacorte Fountain,1904,Y,the Bronx,Borough Hall Park,X010A,6,15,,Y,1999,ca. 1972,"Circular basin with water jets at center, tablet set in ground","15'2"" H x 23'6""W x 39'6"" L",,Granite,,Martelli Brothers,,,George T. Delacorte,,,,,,,,,,,,
Chateau Thierry Keystone,chateau thierry keystone,230,N,the Bronx,,,4,17,BRONX COUNTY BUILDING; East 161st Street and Grand Concourse,Y,"November 11, 1940",,Keystone on pedestal with plaque,"H: 14""  W: 18""",,"Granite, bronze",,,,,American Legion,,,,,,,,,"World War I, War Memorial",,,
The Isaiah Wall,"Isaiah Wall, The",785,Y,Manhattan,Ralph J. Bunche Park,M203B,6,4,1st Avenue and 43rd Street; across from the United Nations,Y,"1948, 9/8/75 (rededicated)",,"Staircase with curved wall, incised letters",,,Granite,,A. Ottavino Granite (letters),,Andrews & Clark,,,,,,Y,,,,,,992676.7282133102,212391.19961114228
Cooperation Monument,,329,N,Manhattan,,,3,1,DRY DOCK SAVINGS BANK; Grand Street and Pitt Street,Y,,,plaque on upright stele,,,bronze granite and metal,,,,,drydock savings bank,,,,,,,,,,,,
Herman Melville,,1012,N,Manhattan,,,1,1,SEAMAN'S CHURCH INSTITUTE; exterior wall,Y,1968,,tablet,,,bronze,,,,,new york community trust,,,,,,,,,,,,
